unique_id,is_best,name,origin,destination,departure time,arrival time,duration,stops,price,dis_from_origin,dis_from_dest,departure_dt,departure_seconds,arrival_dt,arrival_seconds,duration_min
ORD_EWR68,False,Delta,ORD,EWR,"5:51 PM on Fri, Oct 10","12:59 AM on Sat, Oct 11",6 hr 8 min,1,613,0.2460643477547049,20.703705626728063,1900-10-10 17:51:00,3433860.0,1900-10-11 00:59:00,3459540.0,368
ORD_EWR69,False,United,ORD,EWR,"7:30 AM on Fri, Oct 10","8:30 PM on Fri, Oct 10",12 hr,1,614,0.2460643477547049,20.703705626728063,1900-10-10 07:30:00,3396600.0,1900-10-10 20:30:00,3443400.0,720
ORD_EWR70,False,United,ORD,EWR,"10:55 AM on Fri, Oct 10","8:30 PM on Fri, Oct 10",8 hr 35 min,1,614,0.2460643477547049,20.703705626728063,1900-10-10 10:55:00,3408900.0,1900-10-10 20:30:00,3443400.0,515
ORD_EWR71,False,United,ORD,EWR,"12:55 PM on Fri, Oct 10","8:33 AM on Sat, Oct 11",18 hr 38 min,1,614,0.2460643477547049,20.703705626728063,1900-10-10 12:55:00,3416100.0,1900-10-11 08:33:00,3486780.0,1118
ORD_EWR72,False,United,ORD,EWR,"2:15 PM on Fri, Oct 10","7:59 AM on Sat, Oct 11",16 hr 44 min,1,614,0.2460643477547049,20.703705626728063,1900-10-10 14:15:00,3420900.0,1900-10-11 07:59:00,3484740.0,1004
ORD_EWR73,False,United,ORD,EWR,"2:35 PM on Fri, Oct 10","8:33 AM on Sat, Oct 11",16 hr 58 min,1,614,0.2460643477547049,20.703705626728063,1900-10-10 14:35:00,3422100.0,1900-10-11 08:33:00,3486780.0,1018
ORD_EWR74,False,United,ORD,EWR,"2:35 PM on Fri, Oct 10","9:48 AM on Sat, Oct 11",18 hr 13 min,1,614,0.2460643477547049,20.703705626728063,1900-10-10 14:35:00,3422100.0,1900-10-11 09:48:00,3491280.0,1093
ORD_EWR75,False,United,ORD,EWR,"6:12 PM on Fri, Oct 10","7:59 AM on Sat, Oct 11",12 hr 47 min,1,614,0.2460643477547049,20.703705626728063,1900-10-10 18:12:00,3435120.0,1900-10-11 07:59:00,3484740.0,767
ORD_EWR76,False,United,ORD,EWR,"6:12 PM on Fri, Oct 10","10:02 AM on Sat, Oct 11",14 hr 50 min,1,614,0.2460643477547049,20.703705626728063,1900-10-10 18:12:00,3435120.0,1900-10-11 10:02:00,3492120.0,890
ORD_EWR77,False,United,ORD,EWR,"7:54 PM on Fri, Oct 10","8:33 AM on Sat, Oct 11",11 hr 39 min,1,614,0.2460643477547049,20.703705626728063,1900-10-10 19:54:00,3441240.0,1900-10-11 08:33:00,3486780.0,699
